CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
New York,EIP,2020,2020,10,0-4 yr,0,0
New York,EIP,2020,2020,11,0-4 yr,0,0
New York,EIP,2020,2020,12,0-4 yr,0,0
New York,EIP,2020,2020,13,0-4 yr,1.8,1.8
New York,EIP,2020,2020,14,0-4 yr,2.6,0.9
New York,EIP,2020,2020,15,0-4 yr,2.6,0
New York,EIP,2020,2020,16,0-4 yr,2.6,0
New York,EIP,2020,2020,17,0-4 yr,2.6,0
New York,EIP,2020,2020,18,0-4 yr,2.6,0
New York,EIP,2020,2020,19,0-4 yr,2.6,0
New York,EIP,2020,2020,20,0-4 yr,2.6,0
New York,EIP,2020,2020,21,0-4 yr,3.5,0.9
New York,EIP,2020,2020,22,0-4 yr,3.5,0
New York,EIP,2020,2020,23,0-4 yr,null,null
New York,EIP,2020,2020,24,0-4 yr,null,null
New York,EIP,2020,2020,25,0-4 yr,null,null
New York,EIP,2020,2020,26,0-4 yr,null,null
New York,EIP,2020,2020,27,0-4 yr,null,null
New York,EIP,2020,2020,28,0-4 yr,null,null
New York,EIP,2020,2020,29,0-4 yr,null,null
New York,EIP,2020,2020,30,0-4 yr,null,null
New York,EIP,2020,2020,31,0-4 yr,null,null
New York,EIP,2020,2020,32,0-4 yr,null,null
New York,EIP,2020,2020,33,0-4 yr,null,null
New York,EIP,2020,2020,34,0-4 yr,null,null
New York,EIP,2020,2020,35,0-4 yr,null,null
New York,EIP,2020,2020,36,0-4 yr,null,null
New York,EIP,2020,2020,37,0-4 yr,null,null
New York,EIP,2020,2020,38,0-4 yr,null,null
New York,EIP,2020,2020,39,0-4 yr,null,null
New York,EIP,2020,2020,10,5-17 yr,0,0
New York,EIP,2020,2020,11,5-17 yr,0,0
New York,EIP,2020,2020,12,5-17 yr,0,0
New York,EIP,2020,2020,13,5-17 yr,0,0
New York,EIP,2020,2020,14,5-17 yr,0,0
New York,EIP,2020,2020,15,5-17 yr,0,0
New York,EIP,2020,2020,16,5-17 yr,0,0
New York,EIP,2020,2020,17,5-17 yr,0.3,0.3
New York,EIP,2020,2020,18,5-17 yr,0.9,0.6
New York,EIP,2020,2020,19,5-17 yr,0.9,0
New York,EIP,2020,2020,20,5-17 yr,0.9,0
New York,EIP,2020,2020,21,5-17 yr,1.6,0.6
New York,EIP,2020,2020,22,5-17 yr,1.6,0
New York,EIP,2020,2020,23,5-17 yr,null,null
New York,EIP,2020,2020,24,5-17 yr,null,null
New York,EIP,2020,2020,25,5-17 yr,null,null
New York,EIP,2020,2020,26,5-17 yr,null,null
New York,EIP,2020,2020,27,5-17 yr,null,null
New York,EIP,2020,2020,28,5-17 yr,null,null
New York,EIP,2020,2020,29,5-17 yr,null,null
New York,EIP,2020,2020,30,5-17 yr,null,null
New York,EIP,2020,2020,31,5-17 yr,null,null
New York,EIP,2020,2020,32,5-17 yr,null,null
New York,EIP,2020,2020,33,5-17 yr,null,null
New York,EIP,2020,2020,34,5-17 yr,null,null
New York,EIP,2020,2020,35,5-17 yr,null,null
New York,EIP,2020,2020,36,5-17 yr,null,null
New York,EIP,2020,2020,37,5-17 yr,null,null
New York,EIP,2020,2020,38,5-17 yr,null,null
New York,EIP,2020,2020,39,5-17 yr,null,null
New York,EIP,2020,2020,10,18-49 yr,0.1,0.1
New York,EIP,2020,2020,11,18-49 yr,0.2,0.1
New York,EIP,2020,2020,12,18-49 yr,0.8,0.6
New York,EIP,2020,2020,13,18-49 yr,2.9,2.1
New York,EIP,2020,2020,14,18-49 yr,6.1,3.2
New York,EIP,2020,2020,15,18-49 yr,8.7,2.6
New York,EIP,2020,2020,16,18-49 yr,10.2,1.5
New York,EIP,2020,2020,17,18-49 yr,11.3,1.1
New York,EIP,2020,2020,18,18-49 yr,12.7,1.5
New York,EIP,2020,2020,19,18-49 yr,14.4,1.7
New York,EIP,2020,2020,20,18-49 yr,16.4,1.9
New York,EIP,2020,2020,21,18-49 yr,18.2,1.8
New York,EIP,2020,2020,22,18-49 yr,19.6,1.5
New York,EIP,2020,2020,23,18-49 yr,null,null
New York,EIP,2020,2020,24,18-49 yr,null,null
New York,EIP,2020,2020,25,18-49 yr,null,null
New York,EIP,2020,2020,26,18-49 yr,null,null
New York,EIP,2020,2020,27,18-49 yr,null,null
New York,EIP,2020,2020,28,18-49 yr,null,null
New York,EIP,2020,2020,29,18-49 yr,null,null
New York,EIP,2020,2020,30,18-49 yr,null,null
New York,EIP,2020,2020,31,18-49 yr,null,null
New York,EIP,2020,2020,32,18-49 yr,null,null
New York,EIP,2020,2020,33,18-49 yr,null,null
New York,EIP,2020,2020,34,18-49 yr,null,null
New York,EIP,2020,2020,35,18-49 yr,null,null
New York,EIP,2020,2020,36,18-49 yr,null,null
New York,EIP,2020,2020,37,18-49 yr,null,null
New York,EIP,2020,2020,38,18-49 yr,null,null
New York,EIP,2020,2020,39,18-49 yr,null,null
New York,EIP,2020,2020,10,50-64 yr,0,0
New York,EIP,2020,2020,11,50-64 yr,0.4,0.4
New York,EIP,2020,2020,12,50-64 yr,3.3,2.8
New York,EIP,2020,2020,13,50-64 yr,12.2,8.9
New York,EIP,2020,2020,14,50-64 yr,27.2,15
New York,EIP,2020,2020,15,50-64 yr,35.9,8.7
New York,EIP,2020,2020,16,50-64 yr,41.6,5.7
New York,EIP,2020,2020,17,50-64 yr,49.7,8.1
New York,EIP,2020,2020,18,50-64 yr,55.8,6.1
New York,EIP,2020,2020,19,50-64 yr,59.3,3.5
New York,EIP,2020,2020,20,50-64 yr,64.7,5.4
New York,EIP,2020,2020,21,50-64 yr,69.7,5
New York,EIP,2020,2020,22,50-64 yr,73,3.3
New York,EIP,2020,2020,23,50-64 yr,null,null
New York,EIP,2020,2020,24,50-64 yr,null,null
New York,EIP,2020,2020,25,50-64 yr,null,null
New York,EIP,2020,2020,26,50-64 yr,null,null
New York,EIP,2020,2020,27,50-64 yr,null,null
New York,EIP,2020,2020,28,50-64 yr,null,null
New York,EIP,2020,2020,29,50-64 yr,null,null
New York,EIP,2020,2020,30,50-64 yr,null,null
New York,EIP,2020,2020,31,50-64 yr,null,null
New York,EIP,2020,2020,32,50-64 yr,null,null
New York,EIP,2020,2020,33,50-64 yr,null,null
New York,EIP,2020,2020,34,50-64 yr,null,null
New York,EIP,2020,2020,35,50-64 yr,null,null
New York,EIP,2020,2020,36,50-64 yr,null,null
New York,EIP,2020,2020,37,50-64 yr,null,null
New York,EIP,2020,2020,38,50-64 yr,null,null
New York,EIP,2020,2020,39,50-64 yr,null,null
New York,EIP,2020,2020,10,65+ yr,0.3,0.3
New York,EIP,2020,2020,11,65+ yr,2.8,2.6
New York,EIP,2020,2020,12,65+ yr,10.5,7.7
New York,EIP,2020,2020,13,65+ yr,30,19.5
New York,EIP,2020,2020,14,65+ yr,54.4,24.4
New York,EIP,2020,2020,15,65+ yr,75.7,21.3
New York,EIP,2020,2020,16,65+ yr,96.2,20.5
New York,EIP,2020,2020,17,65+ yr,115,18.7
New York,EIP,2020,2020,18,65+ yr,128.3,13.3
New York,EIP,2020,2020,19,65+ yr,144.2,15.9
New York,EIP,2020,2020,20,65+ yr,165.3,21
New York,EIP,2020,2020,21,65+ yr,178.6,13.3
New York,EIP,2020,2020,22,65+ yr,189.4,10.8
New York,EIP,2020,2020,23,65+ yr,null,null
New York,EIP,2020,2020,24,65+ yr,null,null
New York,EIP,2020,2020,25,65+ yr,null,null
New York,EIP,2020,2020,26,65+ yr,null,null
New York,EIP,2020,2020,27,65+ yr,null,null
New York,EIP,2020,2020,28,65+ yr,null,null
New York,EIP,2020,2020,29,65+ yr,null,null
New York,EIP,2020,2020,30,65+ yr,null,null
New York,EIP,2020,2020,31,65+ yr,null,null
New York,EIP,2020,2020,32,65+ yr,null,null
New York,EIP,2020,2020,33,65+ yr,null,null
New York,EIP,2020,2020,34,65+ yr,null,null
New York,EIP,2020,2020,35,65+ yr,null,null
New York,EIP,2020,2020,36,65+ yr,null,null
New York,EIP,2020,2020,37,65+ yr,null,null
New York,EIP,2020,2020,38,65+ yr,null,null
New York,EIP,2020,2020,39,65+ yr,null,null
